class overall buried surface lipid_facing interfacial aqueous efxn
nonpolar 0.411 0.555 0.2 0.294 0.262 0.145 m18_bacteria_DOPC_37
special 0.548 0.595 0.545 0.444 0.612 0.55 m18_bacteria_DOPC_37
aromatic 0.213 0.237 0.146 0.168 0.179 0.127 m18_bacteria_DOPC_37
charged 0.146 0.137 0.162 0.058 0.108 0.176 m18_bacteria_DOPC_37
polar 0.214 0.266 0.151 0.07 0.146 0.163 m18_all_DOPC_37
nonpolar 0.403 0.548 0.193 0.28 0.233 0.141 m18_all_DOPC_37
special 0.524 0.571 0.523 0.401 0.578 0.532 m18_all_DOPC_37
aromatic 0.204 0.225 0.14 0.168 0.152 0.123 m18_all_DOPC_37
charged 0.146 0.128 0.163 0.058 0.098 0.178 m18_all_DOPC_37
polar 0.365 0.444 0.304 0.131 0.287 0.33 m07_all
nonpolar 0.126 0.087 0.178 0.243 0.161 0.127 m07_all
special 0.443 0.51 0.431 0.281 0.426 0.452 m07_all
aromatic 0.032 0.036 0.014 0.0 0.0 0.035 m07_all
charged 0.193 0.191 0.149 0.068 0.108 0.16 m07_all
polar 0.363 0.489 0.232 0.121 0.258 0.239 m12_bacteria
nonpolar 0.108 0.049 0.144 0.323 0.048 0.039 m12_bacteria
special 0.4 0.487 0.327 0.152 0.342 0.349 m12_bacteria
aromatic 0.031 0.042 0.006 0.0 0.0 0.015 m12_bacteria
charged 0.228 0.172 0.281 0.007 0.312 0.287 m12_bacteria
polar 0.253 0.295 0.222 0.267 0.239 0.21 r15_archaea_DLPC_37
nonpolar 0.371 0.545 0.052 0.065 0.03 0.052 r15_archaea_DLPC_37
special 0.502 0.546 0.489 0.111 0.514 0.497 r15_archaea_DLPC_37
aromatic 0.181 0.215 0.065 0.037 0.063 0.096 r15_archaea_DLPC_37
charged 0.172 0.111 0.208 0.167 0.193 0.214 r15_archaea_DLPC_37
polar 0.299 0.408 0.136 0.025 0.129 0.154 m12_humans
nonpolar 0.092 0.041 0.133 0.288 0.044 0.041 m12_humans
special 0.308 0.317 0.336 0.111 0.171 0.396 m12_humans
aromatic 0.049 0.076 0.013 0.0 0.0 0.032 m12_humans
charged 0.317 0.144 0.354 0.0 0.349 0.361 m12_humans
polar 0.346 0.494 0.225 0.103 0.269 0.235 m12_ecoli
nonpolar 0.105 0.047 0.14 0.312 0.045 0.025 m12_ecoli
special 0.416 0.479 0.395 0.16 0.454 0.414 m12_ecoli
aromatic 0.026 0.021 0.0 0.0 0.0 0.0 m12_ecoli
charged 0.225 0.179 0.274 0.0 0.258 0.298 m12_ecoli
polar 0.392 0.493 0.28 0.067 0.318 0.303 m12_archaea
nonpolar 0.114 0.048 0.187 0.344 0.06 0.073 m12_archaea
special 0.383 0.459 0.326 0.0 0.329 0.341 m12_archaea
aromatic 0.026 0.026 0.006 0.0 0.0 0.019 m12_archaea
charged 0.245 0.18 0.284 0.083 0.307 0.283 m12_archaea
polar 0.224 0.27 0.178 0.133 0.17 0.187 m18_archaea_DLPC_37
nonpolar 0.429 0.538 0.236 0.312 0.256 0.125 m18_archaea_DLPC_37
special 0.494 0.527 0.515 0.222 0.586 0.503 m18_archaea_DLPC_37
aromatic 0.223 0.221 0.16 0.222 0.159 0.096 m18_archaea_DLPC_37
charged 0.138 0.106 0.186 0.083 0.193 0.188 m18_archaea_DLPC_37
polar 0.195 0.273 0.145 0.052 0.189 0.154 m18_ecoli_DOPC_37
nonpolar 0.417 0.551 0.207 0.318 0.347 0.121 m18_ecoli_DOPC_37
special 0.55 0.594 0.594 0.491 0.672 0.597 m18_ecoli_DOPC_37
aromatic 0.22 0.205 0.159 0.191 0.143 0.147 m18_ecoli_DOPC_37
charged 0.142 0.14 0.147 0.081 0.062 0.165 m18_ecoli_DOPC_37
polar 0.16 0.172 0.136 0.1 0.161 0.138 m18_humans_DLPC_37
nonpolar 0.368 0.516 0.184 0.226 0.195 0.143 m18_humans_DLPC_37
special 0.437 0.423 0.521 0.167 0.343 0.598 m18_humans_DLPC_37
aromatic 0.183 0.229 0.096 0.163 0.058 0.081 m18_humans_DLPC_37
charged 0.135 0.056 0.178 0.0 0.047 0.196 m18_humans_DLPC_37
polar 0.366 0.445 0.297 0.154 0.293 0.316 m07_bacteria
nonpolar 0.13 0.084 0.192 0.255 0.188 0.139 m07_bacteria
special 0.468 0.544 0.448 0.315 0.477 0.46 m07_bacteria
aromatic 0.033 0.036 0.013 0.0 0.0 0.032 m07_bacteria
charged 0.186 0.179 0.149 0.073 0.116 0.159 m07_bacteria
polar 0.203 0.239 0.157 0.053 0.167 0.167 m18_eukaryotes_DLPC_37
nonpolar 0.392 0.547 0.188 0.281 0.15 0.122 m18_eukaryotes_DLPC_37
special 0.446 0.502 0.47 0.19 0.347 0.529 m18_eukaryotes_DLPC_37
aromatic 0.201 0.226 0.129 0.191 0.107 0.1 m18_eukaryotes_DLPC_37
charged 0.146 0.097 0.166 0.042 0.067 0.185 m18_eukaryotes_DLPC_37
polar 0.218 0.262 0.167 0.149 0.203 0.161 r15_eukaryotes_DLPC_37
nonpolar 0.325 0.511 0.069 0.069 0.062 0.072 r15_eukaryotes_DLPC_37
special 0.438 0.499 0.457 0.207 0.277 0.525 r15_eukaryotes_DLPC_37
aromatic 0.154 0.215 0.062 0.053 0.029 0.091 r15_eukaryotes_DLPC_37
charged 0.155 0.1 0.178 0.375 0.121 0.177 r15_eukaryotes_DLPC_37
