class overall buried surface lipid_facing interfacial aqueous efxn
polar 5.322 6.487 2.935 2.769 2.372 3.0 m07_archaea
nonpolar -6.338 -11.589 -2.009 -2.03 -1.993 -2.505 m07_archaea
special -16.988 -16.118 -1.994 -1.117 -1.335 -2.562 m07_archaea
aromatic -10.043 -9.261 -21.89 -43.166 -39.183 -19.649 m07_archaea
charged 0.031 2.679 -3.804 -14.743 -14.547 -3.565 m07_archaea
polar -1.611 -1.707 -0.653 -5.073 -1.055 -0.213 m18_ecoli_DLPC
nonpolar 1.174 0.912 -1.258 -1.973 -0.67 -0.972 m18_ecoli_DLPC
special -0.409 -0.842 -0.626 -1.636 -0.329 0.111 m18_ecoli_DLPC
aromatic -0.19 -0.902 -0.54 0.192 -0.448 -1.402 m18_ecoli_DLPC
charged -1.282 -2.958 -0.491 -1.421 -3.005 0.092 m18_ecoli_DLPC
polar -0.826 -1.434 0.181 1.23 -0.025 -0.024 r15_ecoli
nonpolar 0.21 0.847 -4.524 -5.761 -4.966 -3.735 r15_ecoli
special -0.59 -1.041 -13.036 -13.256 0.061 -0.141 r15_ecoli
aromatic -1.013 -0.7 -3.663 -4.789 -4.091 -3.104 r15_ecoli
charged 1.079 -2.123 2.0 6.458 1.941 1.478 r15_ecoli
polar -0.011 -1.195 0.104 -15.864 -0.397 0.589 m18_archaea_DOPC
nonpolar 0.657 0.872 -1.422 -0.983 0.714 -2.854 m18_archaea_DOPC
special -0.461 -0.769 11.159 11.272 0.147 -0.511 m18_archaea_DOPC
aromatic -0.521 -0.999 -0.579 0.178 -11.562 -1.49 m18_archaea_DOPC
charged -0.998 -3.508 -0.558 -13.351 -4.04 0.034 m18_archaea_DOPC
polar -1.555 -1.41 -0.661 -2.947 -1.658 -0.272 m18_ecoli_DLPE
nonpolar 1.109 0.968 -1.242 -1.147 -0.133 -1.399 m18_ecoli_DLPE
special -0.371 -0.726 -1.376 -12.447 -11.815 11.466 m18_ecoli_DLPE
aromatic -0.3 -0.869 -0.882 -0.931 0.526 -1.521 m18_ecoli_DLPE
charged -0.934 -3.283 -0.145 -2.192 -2.535 0.332 m18_ecoli_DLPE
polar 4.179 4.661 2.745 0.954 4.427 2.822 m07_humans
nonpolar -5.919 -13.336 -2.564 -1.927 -2.088 -3.488 m07_humans
special -17.468 -17.215 -15.375 -15.87 -13.373 -14.274 m07_humans
aromatic -8.536 -19.178 -23.183 -43.373 -41.08 -20.531 m07_humans
charged 0.895 5.324 -2.617 4.736 -13.675 -2.954 m07_humans
polar -0.567 -1.549 -0.414 -3.753 -1.481 -0.031 m18_eukaryotes_DOPC
nonpolar 1.046 1.31 -1.823 -2.118 -0.67 -2.189 m18_eukaryotes_DOPC
special -1.576 -1.452 -3.695 -14.336 -12.602 -3.25 m18_eukaryotes_DOPC
aromatic -0.714 -1.22 -0.734 0.023 -0.847 -1.376 m18_eukaryotes_DOPC
charged -1.025 -4.97 0.016 -14.914 -3.42 0.453 m18_eukaryotes_DOPC
polar 0.199 -0.833 0.946 3.6 2.451 0.253 r15_humans
nonpolar 0.054 1.435 -6.415 -9.388 -18.119 -4.95 r15_humans
special -1.636 -1.263 -14.227 -15.043 -13.115 -12.904 r15_humans
aromatic -1.724 -1.458 -4.231 -5.838 -28.181 -3.301 r15_humans
charged 0.846 -3.155 2.275 24.686 1.894 1.157 r15_humans
polar 3.998 5.022 2.546 2.488 2.62 2.551 m07_all
nonpolar -4.575 -10.79 -1.112 -0.871 -1.451 -1.129 m07_all
special -19.505 -18.953 -16.78 -15.815 -14.586 -16.133 m07_all
aromatic -9.605 -9.296 -11.715 -27.121 -24.5 -10.559 m07_all
charged -0.213 2.882 -3.831 -3.888 -3.62 -3.952 m07_all
polar -0.252 -1.515 0.424 1.984 0.298 0.184 r15_all
nonpolar 0.286 0.985 -4.281 -6.932 -5.579 -3.178 r15_all
special -0.818 -1.035 -2.512 -4.256 -1.645 -2.33 r15_all
aromatic -1.282 -1.109 -3.269 -4.226 -4.07 -2.752 r15_all
charged 0.754 -2.813 1.898 7.984 2.414 1.059 r15_all
polar 3.94 5.777 1.113 0.662 1.018 1.193 m12_bacteria
nonpolar -5.925 -10.728 -6.576 -4.773 -8.446 -7.181 m12_bacteria
special -20.627 -19.983 -18.282 -17.448 -16.284 -17.311 m12_bacteria
aromatic -9.02 -7.764 -25.497 -36.615 -33.614 -24.647 m12_bacteria
charged -0.065 -0.351 -1.339 -1.299 -0.746 -1.393 m12_bacteria
polar -1.426 -1.556 -0.621 -3.151 -2.326 -0.264 m18_ecoli_DOPC
